EV Model,Capacity
Ford Mustang Mach-E SR RWD,72.6
Ford Mustang Mach-E SR RWD,72.6
Zeekr 7X Core RWD,72.0
Toyota C-HR+ 77 kWh,72.0
Toyota C-HR+ 77 kWh AWD,72.0
Zeekr 7GT Core RWD,72.0
Subaru Uncharted 77 kWh,72.0
Subaru Uncharted 77 kWh AWD,72.0
KGM Torres EVX,72.0
Lexus RZ 350e,72.0
Lexus RZ 500e,72.0
Lexus RZ 550e F SPORT,72.0
BYD SEAL U 71.8 kWh Comfort,71.8
Toyota bZ4X Touring FWD 74.7 kWh,71.0
Toyota bZ4X Touring AWD 74.7 kWh,71.0
Ford e-Tourneo Custom L1 160 kW RWD,71.0
Ford e-Tourneo Custom L1 160 kW AWD,71.0
Ford e-Tourneo Custom L1 210 kW RWD,71.0
Ford e-Tourneo Custom L1 210 kW AWD,71.0
Ford e-Tourneo Custom L2 160 kW RWD,71.0
Ford e-Tourneo Custom L2 160 kW AWD,71.0
Ford e-Tourneo Custom L2 210 kW RWD,71.0
Ford e-Tourneo Custom L2 210 kW AWD,71.0
Mercedes-Benz CLA 250,71.0
Mercedes-Benz EQA 250+,70.5
Leapmotor C10 RWD 69.9 kWh,69.9
Toyota bZ4X FWD 73.1 kWh,69.0
Toyota bZ4X AWD 73.1 kWh,69.0
Subaru Solterra AWD 73.1 kWh,69.0
Citroën ë-SpaceTourer M 75 kWh,69.0
Citroën ë-SpaceTourer XL 75 kWh,69.0
Peugeot e-Traveller L2 75 kWh,69.0
Peugeot e-Traveller L3 75 kWh,69.0
Opel Zafira Electric 75 kWh,69.0
Opel Zafira Electric XL 75 kWh,69.0
Toyota Proace Verso M 75 kWh,69.0
Toyota Proace Verso L 75 kWh,69.0
Mazda 6e 68.8 kWh,68.0
Changan Deepal S05 RWD,68.0
Changan Deepal S05 4WD Max,68.0
Skywell BE11 Standard Range,68.0
XPENG G6 RWD Standard Range,67.8
BMW i4 eDrive35,67.1
Polestar 2 Standard Range Single Motor,67.0
Volvo EC40 Single Motor,67.0
Volvo EX40 Single Motor,67.0
Kia PV5 Passenger 71.2 kWh,67.0
Mercedes-Benz EQA 250,66.5
Mercedes-Benz EQA 300 4MATIC,66.5
Mercedes-Benz EQA 350 4MATIC,66.5
Hyundai Kona Electric 65 kWh,65.4
Mini Countryman E,65.2
Mini Countryman SE ALL4,65.2
BMW iX1 eDrive20,65.2
BMW iX1 xDrive30,65.2
BMW iX2 eDrive20,65.2
BMW iX2 xDrive30,65.2
Volvo EX30 Cross Country,65.0
Volvo EX30 Single Motor ER,65.0
Volvo EX30 Twin Motor Performance,65.0
Zeekr X Long Range RWD,65.0
Zeekr X Privilege AWD,65.0
Volvo EX30 P3 Long Range,65.0
Volvo EX30 P5 Long Range,65.0
Volvo EX30 P8 AWD,65.0
Volvo EX30 Cross Country P5 Long Range,65.0
Volvo EX30 Cross Country P8 AWD,65.0
Leapmotor B10 67.1 kWh,65.0
Hyundai Kona Electric 64.8 kWh,64.8
GWM ORA 07 Pure,64.3
GWM ORA 07 Pro,64.3
Subaru Solterra AWD,64.0
Volkswagen e-Transporter Kombi L1 100 kW 64 kWh,63.8
Volkswagen e-Transporter Kombi L1 160 kW 64 kWh,63.8
Volkswagen e-Transporter Kombi L1 210 kW 64 kWh,63.8
Volkswagen e-Transporter Kombi L2 100 kW 64 kWh,63.8
Volkswagen e-Transporter Kombi L2 160 kW 64 kWh,63.8
Volkswagen e-Transporter Kombi L2 210 kW 64 kWh,63.8
Volkswagen e-Caravelle L1 100 kW 64 kWh,63.8
Volkswagen e-Caravelle L1 160 kW 64 kWh,63.8
Volkswagen e-Caravelle L1 210 kW 64 kWh,63.8
Volkswagen e-Caravelle L2 100 kW 64 kWh,63.8
Volkswagen e-Caravelle L2 160 kW 64 kWh,63.8
Volkswagen e-Caravelle L2 210 kW 64 kWh,63.8
Nissan Ariya 63kWh,63.0
MG MGS5 EV 64 kWh,62.1
Smart #1 Premium,62.0
Smart #3 Premium,62.0
Smart #1 Pulse,62.0
Smart #1 Pro+,62.0
Smart #1 Pure+,62.0
Smart #3 Pro+,62.0
Smart #3 Brabus,62.0
Smart #1 Brabus,62.0
Lynk&Co 02,62.0
Honda e:Ny1,61.9
MG MG4 Premium Long Range,61.7
MG MG4 XPOWER,61.7
MG MG4 Electric XPOWER,61.7
MG MG4 Electric 64 kWh,61.7
BYD SEAL 61.4 kWh RWD Comfort,61.4
BYD ATTO 3,60.5
BYD DOLPHIN 60.4 kWh,60.5
Geely EX5,60.2
Tesla Model Y RWD,60.0
Renault Megane E-Tech EV60 130hp,60.0
Renault Megane E-Tech EV60 220hp,60.0
Tesla Model 3 RWD,60.0
Mercedes-Benz EQV 250 Long,60.0
Mercedes-Benz EQV 250 Extra-Long,60.0
Mercedes-Benz eVito Tourer Long 60 kWh,60.0
Mercedes-Benz eVito Tourer Extra-Long 60 kWh,60.0
XPENG P7+ RWD Standard Range,60.0
Hyundai IONIQ 6 63 kWh RWD,60.0
Renault Scenic E-Tech EV60 170hp,60.0
Hyundai IONIQ 5 63 kWh RWD,60.0
Kia EV6 Standard Range 2WD,60.0
Toyota Urban Cruiser 61.1 kWh,59.8
Toyota Urban Cruiser 61.1 kWh AWD,59.8
Suzuki e VITARA 61 kWh 2WD,59.8
Suzuki e VITARA 61 kWh 4WD AllGrip,59.8
VinFast VF 6 Eco,59.6
VinFast VF 6 Plus,59.6
GWM ORA 03 63 kWh,59.3
GWM ORA 03 GT,59.3
Škoda Enyaq 60,59.0
Škoda Enyaq Coupe 60,59.0
Volkswagen ID. Buzz NWB Pure,59.0
Audi Q4 e-tron 40,59.0
Audi Q4 Sportback e-tron 40,59.0
Volkswagen ID.3 Pro,59.0
CUPRA Born 170 kW - 59 kWh,59.0
CUPRA Born 150 kW - 59 kWh,59.0
Škoda Elroq 60,59.0
Jaecoo 5 EV,58.9
Omoda E5,58.9
DS Automobiles N°4 E-Tense,58.3
Peugeot e-408 58 kWh,58.3
Peugeot e-408 58 kWh,58.3
Mercedes-Benz CLA 200,58.0
Ford Capri Standard Range RWD,58.0
Ford Explorer Standard Range RWD,58.0
BYD ATTO 2 64.8 kWh,58.0
Opel Astra Electric 58 kWh,55.4
Opel Astra Sports Tourer Electric 58 kWh,55.4
Peugeot e-308 58 kWh,55.4
Peugeot e-308 SW 58 kWh,55.4
Kia EV4 Hatchback 58.3 kWh,55.0
Leapmotor B10 56.2 kWh,55.0
Kia EV3 Standard Range,55.0
Toyota bZ4X FWD 57.7 kWh,54.0
Toyota C-HR+ 57.7 kWh,54.0
Subaru Uncharted 57.7 kWh,54.0
Citroën ë-C3 Aircross Extended Range 54 kWh,53.5
Opel Frontera Electric 54 kWh,53.5
Nissan LEAF Standard Range 52 kWh,52.9
MG MG4 Urban Comfort Long Range,52.8
